login_timestamp,is_risky,source,platform,city,region,country,browser,user_agent,user_id,device_no
2020-09-19 14:44:12.253000+00:00,False,username_password,web,Orlando,Florida,US,Firefox,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:80.0) Gecko/20100101 Firefox/80.0,0,0
2020-09-13 18:36:56.165000+00:00,False,username_password,native,Macomb,Michigan,US,motorola,Dalvik/2.1.0 (Linux; U; Android 9; moto g(7) play Build/PCY29.105-253),1,1
2020-09-12 20:32:39.517000+00:00,False,username_password,native,Summerton,South Carolina,US,motorola,Dalvik/2.1.0 (Linux; U; Android 7.1.1; XT1609 Build/NPIS26.48-43-2),2,2
2020-09-14 00:36:27.254000+00:00,True,facebook_signin,native,Fort Worth,Texas,US,LGE,Dalvik/2.1.0 (Linux; U; Android 9; LM-Q610(FGN) Build/PKQ1.190522.001),3,3
2020-09-11 19:13:21.699000+00:00,False,username_password,web,Mobile,Alabama,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13099.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.94 Safari/537.36",4,4
2020-09-12 19:19:18.765000+00:00,False,username_password,web,Duluth,Minnesota,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13099.110.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.136 Safari/537.36",5,5
2020-09-15 17:17:02.971000+00:00,True,username_password,web,null,null,US,Chrome Mobile,"Mozilla/5.0 (Linux; Android 10; LM-K300) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.99 Mobile Safari/537.36",6,6
2020-09-12 17:42:26.414000+00:00,False,username_password,web,Marshall,Texas,US,Chrome Mobile WebView,"Mozilla/5.0 (Linux; Android 8.0.0; XT1635-01 Build/ODN27.76-12-30-8-1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.101 Mobile Safari/537.36",7,7
2020-09-09 15:59:46.625000+00:00,False,facebook_signin,native,South Paris,Maine,US,LGE,Dalvik/2.1.0 (Linux; U; Android 9; LGL322DL Build/PKQ1.190414.001),8,8
2020-09-20 05:45:14.488000+00:00,True,username_password,web,Elkridge,Maryland,US,Chrome Mobile,"Mozilla/5.0 (Linux; Android 7.1.2; LG-SP200 Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36",9,9
2020-09-11 14:37:43.817000+00:00,False,username_password,web,Springfield,Massachusetts,US,Chrome Mobile,"Mozilla/5.0 (Linux; Android 9; LM-K500) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.101 Mobile Safari/537.36",10,10
2020-09-14 01:49:42.546000+00:00,True,username_password,web,Las Cruces,New Mexico,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",11,11
2020-09-10 11:21:44.299000+00:00,False,username_password,web,Seminole,Florida,US,Chrome Mobile,"Mozilla/5.0 (Linux; Android 7.1.1; Moto E (4)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.111 Mobile Safari/537.36",12,12
2020-09-18 19:14:57.683000+00:00,False,username_password,web,Saint John,Indiana,US,Chrome,"Mozilla/5.0 (Linux; Android 9; SM-T380) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.101 Safari/537.36",13,13
2020-09-14 13:33:10.159000+00:00,False,username_password,web,Passaic,New Jersey,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13310.59.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.84 Safari/537.36",14,14
2020-09-19 03:27:26.139000+00:00,True,facebook_signin,native,Birmingham,Alabama,US,ZTE,Dalvik/2.1.0 (Linux; U; Android 9; Z3153V Build/PPR1.180610.011),15,15
2020-09-10 00:45:19.910000+00:00,False,username_password,web,Chicago,Illinois,US,Chrome Mobile,"Mozilla/5.0 (Linux; Android 6.0.1; LGLS676) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.101 Mobile Safari/537.36",16,16
2020-09-10 16:10:18.623000+00:00,False,username_password,native,Hanford,California,US,TINNO,Dalvik/2.1.0 (Linux; U; Android 9; U304AA Build/P00610),17,17
2020-09-10 18:30:44.703000+00:00,False,username_password,web,La Verne,California,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36",18,18
2020-09-09 22:40:31.368000+00:00,False,username_password,web,La Verne,California,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36",18,19
2020-09-13 19:28:43+00:00,False,username_password,web,Urbandale,Iowa,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13099.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.110 Safari/537.36",19,20
2020-09-14 15:56:30.538000+00:00,False,username_password,web,Alexandria,Virginia,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13020.87.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.119 Safari/537.36",20,21
2020-09-19 16:57:46.160000+00:00,False,username_password,web,Austin,Texas,US,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:80.0) Gecko/20100101 Firefox/80.0,21,22
2020-09-11 04:07:47.341000+00:00,False,username_password,native,Salt Lake City,Utah,US,LGE,Dalvik/2.1.0 (Linux; U; Android 10; LM-K500 Build/QKQ1.200216.002),22,23
2020-09-13 20:43:53.927000+00:00,False,username_password,web,Anderson,South Carolina,US,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-T817V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.101 Safari/537.36",23,24
2020-09-13 16:19:15.066000+00:00,False,username_password,web,Wilmington,Delaware,US,Chrome Mobile,"Mozilla/5.0 (Linux; Android 8.0.0; XT1710-02) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36",24,25
2020-08-27 04:44:33.082000+00:00,False,username_password,web,Glassboro,New Jersey,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13099.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.110 Safari/537.36",25,26
2020-09-03 20:21:03.488000+00:00,False,username_password,web,Mansfield,Ohio,US,Chrome Mobile,"Mozilla/5.0 (Linux; Android 9; VIEW 1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Mobile Safari/537.36",26,27
2020-08-27 15:59:37.200000+00:00,True,facebook_signin,native,Chattanooga,Tennessee,US,motorola,Dalvik/2.1.0 (Linux; U; Android 9; moto g(6) play Build/PCPS29.118-67-9),27,28
2020-08-27 16:00:52.702000+00:00,False,facebook_signin,native,Chattanooga,Tennessee,US,motorola,Dalvik/2.1.0 (Linux; U; Android 9; moto g(6) play Build/PCPS29.118-67-9),27,28
2020-09-08 02:41:54.664000+00:00,False,username_password,web,Atlanta,Georgia,US,Chrome Mobile,"Mozilla/5.0 (Linux; Android 9; LM-Q710.FGN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36",28,29
2020-08-27 12:46:59.009000+00:00,False,username_password,web,Laurelton,New Jersey,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13099.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.110 Safari/537.36",29,30
2020-08-25 19:50:05.341000+00:00,False,username_password,native,Raeford,North Carolina,US,LGE,Dalvik/2.1.0 (Linux; U; Android 9; LGL322DL Build/PKQ1.190414.001),30,31
2020-08-25 20:36:05.030000+00:00,False,username_password,web,null,Virginia,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13099.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.127 Safari/537.36",31,32
2020-08-28 05:22:16.116000+00:00,False,username_password,native,Brooklyn,New York,US,samsung,Dalvik/2.1.0 (Linux; U; Android 10; SM-G960U Build/QP1A.190711.020),32,33
2020-09-09 05:05:44.292000+00:00,False,username_password,web,Karlsruhe,Baden-Württemberg,DE,Firefox,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:79.0) Gecko/20100101 Firefox/79.0,33,34
2020-09-09 01:33:36.524000+00:00,False,facebook_signin,native,Apopka,Florida,US,LGE,Dalvik/2.1.0 (Linux; U; Android 10; LM-K500 Build/QKQ1.200216.002),34,35
2020-09-08 17:31:06.451000+00:00,True,username_password,web,Saint Charles,Missouri,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 13099.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.127 Safari/537.36",35,36
2020-09-08 03:39:02.289000+00:00,False,username_password,web,Plant City,Florida,US,Chrome,"Mozilla/5.0 (X11; CrOS x86_64 12871.102.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.141 Safari/537.36",36,37
2020-09-08 22:42:27.670000+00:00,False,username_password,native,Arlington,Texas,US,motorola,Dalvik/2.1.0 (Linux; U; Android 9; moto g(6) play Build/PCPS29.118-67-9),37,38
